Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
100,79.5602,21.17,0.0929,0.9071,0.0473
300,80.1583,21.9,0.0949,0.9051,0.0479
500,80.3342,22.63,0.0948,0.9052,0.0483
750,80.6157,21.9,0.0971,0.9029,0.049
800,80.5981,21.9,0.097,0.903,0.0499
1200,80.5629,21.17,0.0977,0.9023,0.0507
