Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
newton-cg,80.2463,21.9,0.0953,0.9047,0.0454
lbfgs,76.6755,13.139999999999999,0.0897,0.9103,0.0513
liblinear,82.3923,21.17,0.1079,0.8921,0.0539
