Classifier, Overall, OverallTrain, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
0.1,0.958,0.879,0.9552,0.9115,0.0885,0.0861
0.2,0.9639,0.9303,0.9614,0.9114,0.0886,0.0752
0.3,0.9693,0.948,0.9659,0.9404,0.0596,0.1101
0.5,0.9703,0.9638,0.9673,0.9483,0.0517,0.0878
0.6,0.971,0.9681,0.9684,0.9427,0.0573,0.1035
0.7,0.9713,0.9712,0.9687,0.9391,0.0609,0.1026
0.8,0.9721,0.9736,0.9695,0.9442,0.0558,0.087
0.9,0.9723,0.9753,0.9694,0.9554,0.0446,0.09261
