Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
LR,82.3923,21.17,0.1079,0.8921,0.0539
SVC,77.4142,23.36,0.0818,0.9182,0.0397
NB,55.6728,26.279999999999998,0.0401,0.9599,0.0123
RF,80.3342,22.63,0.0948,0.9052,0.0483
DT,76.9569,21.9,0.0817,0.9183,0.0382
