Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
0.8,75.1803,22.63,0.0751,0.9249,0.0432
1,80.3342,22.63,0.0948,0.9052,0.0483
2,90.4485,18.33,0.1805,0.8195,0.1381
3,93.4783,13.61,0.2813,0.7187,0.2389
4,94.7977,11.31,0.3599,0.6401,0.314
5,95.3129,10.71,0.4021,0.5979,0.3539
