Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
30,90.6058,16.669999999999998,0.1904,0.8096,0.1523
25,90.7348,16.12,0.1943,0.8057,0.1563
20,90.4485,18.33,0.1805,0.8195,0.1381
15,90.5764,16.39,0.1904,0.8096,0.1512
10,90.4064,15.85,0.1883,0.8117,0.1504

